ADI,Date,Open,High,Low,Close,Adj Close,Volume
ADI,1980-03-17,0.000000,0.764000,0.728000,0.728000,0.467882,378125
ADI,1980-03-18,0.000000,0.728000,0.708000,0.720000,0.462741,215625
ADI,1980-03-19,0.000000,0.736000,0.720000,0.720000,0.462741,153125
ADI,1980-03-20,0.000000,0.728000,0.720000,0.720000,0.462741,43750
ADI,1980-03-21,0.000000,0.720000,0.688000,0.688000,0.442174,556250
ADI,1980-03-24,0.000000,0.692000,0.632000,0.640000,0.411325,384375
ADI,1980-03-25,0.000000,0.624000,0.592000,0.616000,0.395900,325000
ADI,1980-03-26,0.000000,0.640000,0.620000,0.640000,0.411325,100000
ADI,1980-03-27,0.000000,0.624000,0.596000,0.604000,0.388188,512500
ADI,1980-03-28,0.000000,0.640000,0.616000,0.640000,0.411325,246875
ADI,1980-03-31,0.000000,0.640000,0.628000,0.640000,0.411325,62500
ADI,1980-04-01,0.000000,0.648000,0.640000,0.640000,0.411325,50000
ADI,1980-04-02,0.000000,0.664000,0.640000,0.656000,0.421608,128125
ADI,1980-04-03,0.000000,0.664000,0.648000,0.648000,0.416467,128125
ADI,1980-04-07,0.000000,0.644000,0.620000,0.620000,0.398471,265625
ADI,1980-04-08,0.000000,0.632000,0.616000,0.632000,0.406183,96875
ADI,1980-04-09,0.000000,0.644000,0.636000,0.640000,0.411325,50000
ADI,1980-04-10,0.000000,0.656000,0.640000,0.656000,0.421608,53125
ADI,1980-04-11,0.000000,0.656000,0.644000,0.652000,0.419037,243750
ADI,1980-04-14,0.000000,0.644000,0.632000,0.632000,0.406183,162500
ADI,1980-04-15,0.000000,0.640000,0.624000,0.624000,0.401042,37500
ADI,1980-04-16,0.000000,0.645000,0.625000,0.630000,0.404898,142500
ADI,1980-04-17,0.000000,0.625000,0.610000,0.620000,0.398471,182500
ADI,1980-04-18,0.000000,0.630000,0.605000,0.605000,0.388831,397500
ADI,1980-04-21,0.000000,0.615000,0.605000,0.605000,0.388831,25000
ADI,1980-04-22,0.000000,0.645000,0.610000,0.645000,0.414538,390000
ADI,1980-04-23,0.000000,0.655000,0.640000,0.655000,0.420965,505000
ADI,1980-04-24,0.000000,0.655000,0.640000,0.645000,0.414538,232500
ADI,1980-04-25,0.000000,0.650000,0.640000,0.650000,0.417752,147500
ADI,1980-04-28,0.000000,0.665000,0.650000,0.660000,0.424179,167500
ADI,1980-04-29,0.000000,0.665000,0.655000,0.655000,0.420965,35000
ADI,1980-04-30,0.000000,0.665000,0.650000,0.660000,0.424179,102500
ADI,1980-05-01,0.000000,0.660000,0.650000,0.650000,0.417752,217500
ADI,1980-05-02,0.000000,0.655000,0.640000,0.645000,0.414538,222500
ADI,1980-05-05,0.000000,0.650000,0.635000,0.650000,0.417752,267500
ADI,1980-05-06,0.000000,0.645000,0.640000,0.640000,0.411325,87500
ADI,1980-05-07,0.000000,0.640000,0.625000,0.640000,0.411325,137500
ADI,1980-05-08,0.000000,0.640000,0.630000,0.635000,0.408111,110000
ADI,1980-05-09,0.000000,0.645000,0.625000,0.625000,0.401684,65000
ADI,1980-05-12,0.000000,0.660000,0.635000,0.650000,0.417752,180000
ADI,1980-05-13,0.000000,0.660000,0.645000,0.660000,0.424179,75000
ADI,1980-05-14,0.000000,0.680000,0.650000,0.680000,0.437033,407500
ADI,1980-05-15,0.000000,0.685000,0.675000,0.680000,0.437033,145000
ADI,1980-05-16,0.000000,0.690000,0.675000,0.690000,0.443460,147500
ADI,1980-05-19,0.000000,0.720000,0.695000,0.715000,0.459527,320000
ADI,1980-05-20,0.000000,0.780000,0.710000,0.780000,0.501302,400000
ADI,1980-05-21,0.000000,0.780000,0.755000,0.765000,0.491662,295000
ADI,1980-05-22,0.000000,0.765000,0.750000,0.750000,0.482021,155000
ADI,1980-05-23,0.000000,0.785000,0.755000,0.760000,0.488448,142500
ADI,1980-05-27,0.000000,0.790000,0.770000,0.770000,0.494875,195000
