COST,Costco Wholesale,Date,Open,High,Low,Close,Adj Close,Volume
COST,Costco Wholesale,2018-03-09,186.500000,188.639999,184.220001,188.580002,176.207169,3288100
COST,Costco Wholesale,2018-03-12,188.270004,190.100006,187.550003,189.369995,176.945343,2394100
COST,Costco Wholesale,2018-03-13,190.050003,190.119995,186.800003,187.460007,175.160660,1964300
COST,Costco Wholesale,2018-03-14,188.779999,189.009995,183.500000,184.630005,172.516327,2866000
COST,Costco Wholesale,2018-03-15,184.820007,186.570007,184.160004,185.509995,173.338623,1811300
COST,Costco Wholesale,2018-03-16,186.179993,186.250000,184.470001,185.869995,173.674957,3569400
COST,Costco Wholesale,2018-03-19,185.630005,185.979996,182.809998,184.149994,172.067825,2493200
COST,Costco Wholesale,2018-03-20,185.100006,187.580002,184.600006,187.350006,175.057861,1852500
COST,Costco Wholesale,2018-03-21,186.830002,187.889999,186.059998,186.070007,173.861877,2048300
COST,Costco Wholesale,2018-03-22,184.899994,185.550003,182.500000,182.639999,170.656891,2489800
COST,Costco Wholesale,2018-03-23,183.279999,184.449997,180.830002,180.839996,168.975006,2351800
COST,Costco Wholesale,2018-03-26,183.029999,187.559998,182.339996,187.220001,174.936401,2036600
COST,Costco Wholesale,2018-03-27,187.440002,187.660004,182.059998,183.149994,171.133423,2495300
COST,Costco Wholesale,2018-03-28,183.610001,184.619995,181.229996,183.610001,171.563263,2168700
COST,Costco Wholesale,2018-03-29,184.740005,188.639999,184.410004,188.429993,176.066986,3016000
COST,Costco Wholesale,2018-04-02,186.910004,186.910004,181.050003,182.750000,170.759659,3599200
COST,Costco Wholesale,2018-04-03,183.529999,184.169998,181.350006,182.610001,170.628860,2287000
COST,Costco Wholesale,2018-04-04,181.130005,186.350006,180.940002,185.520004,173.347931,2111000
COST,Costco Wholesale,2018-04-05,186.699997,187.000000,184.929993,186.250000,174.030045,1933600
COST,Costco Wholesale,2018-04-06,185.339996,187.250000,183.100006,183.960007,171.890274,2259000
COST,Costco Wholesale,2018-04-09,185.199997,187.399994,183.500000,184.410004,172.310760,1946000
COST,Costco Wholesale,2018-04-10,185.750000,185.970001,182.169998,183.550003,171.507187,2526000
COST,Costco Wholesale,2018-04-11,182.250000,186.369995,182.220001,184.649994,172.535004,1697300
COST,Costco Wholesale,2018-04-12,185.500000,190.039993,185.490005,188.820007,176.431427,2841600
COST,Costco Wholesale,2018-04-13,189.809998,189.830002,187.009995,188.910004,176.515518,1744400
COST,Costco Wholesale,2018-04-16,191.839996,195.800003,191.380005,194.580002,181.813477,3026800
COST,Costco Wholesale,2018-04-17,195.660004,196.880005,194.729996,196.000000,183.140320,2160500
COST,Costco Wholesale,2018-04-18,196.300003,197.770004,196.119995,196.509995,183.616867,1663100
COST,Costco Wholesale,2018-04-19,196.160004,196.399994,193.500000,195.070007,182.271393,2427600
COST,Costco Wholesale,2018-04-20,194.429993,195.669998,192.750000,193.559998,180.860428,2252800
COST,Costco Wholesale,2018-04-23,193.809998,194.380005,192.259995,193.350006,180.664200,1618000
COST,Costco Wholesale,2018-04-24,194.539993,195.360001,191.149994,192.509995,179.879288,1598900
COST,Costco Wholesale,2018-04-25,192.229996,194.669998,191.389999,193.970001,181.243515,1311700
COST,Costco Wholesale,2018-04-26,194.119995,196.440002,193.339996,195.259995,182.448883,1445800
COST,Costco Wholesale,2018-04-27,194.949997,196.919998,194.529999,196.580002,183.682297,1563100
COST,Costco Wholesale,2018-04-30,197.100006,199.039993,196.389999,197.160004,184.224213,2165000
COST,Costco Wholesale,2018-05-01,196.490005,197.080002,193.509995,196.550003,183.654236,1413200
COST,Costco Wholesale,2018-05-02,195.479996,195.580002,192.449997,194.000000,181.271530,2498100
COST,Costco Wholesale,2018-05-03,193.919998,193.990005,190.179993,193.009995,180.346497,1815500
COST,Costco Wholesale,2018-05-04,192.839996,196.399994,191.279999,195.190002,182.383484,1704500
COST,Costco Wholesale,2018-05-07,195.779999,195.800003,192.210007,193.059998,180.393219,2361900
COST,Costco Wholesale,2018-05-08,192.990005,195.199997,192.419998,194.479996,181.720062,1908600
COST,Costco Wholesale,2018-05-09,194.149994,196.419998,193.149994,196.039993,183.177704,1999100
COST,Costco Wholesale,2018-05-10,196.050003,196.929993,194.199997,195.449997,183.158966,1874200
COST,Costco Wholesale,2018-05-11,195.330002,195.979996,194.570007,195.759995,183.449478,1296300
COST,Costco Wholesale,2018-05-14,195.960007,197.270004,195.419998,195.880005,183.561966,1440900
COST,Costco Wholesale,2018-05-15,194.759995,196.699997,193.259995,195.479996,183.187057,2319600
COST,Costco Wholesale,2018-05-16,196.070007,199.350006,195.000000,198.710007,186.213974,2163200
COST,Costco Wholesale,2018-05-17,199.059998,201.350006,197.889999,199.600006,187.048019,2391000
COST,Costco Wholesale,2018-05-18,199.500000,199.520004,197.779999,198.960007,186.448257,1624600
COST,Costco Wholesale,2018-05-21,199.600006,201.339996,199.089996,199.619995,187.066727,1202800
COST,Costco Wholesale,2018-05-22,199.720001,201.770004,198.830002,198.970001,186.457626,1563600
COST,Costco Wholesale,2018-05-23,199.089996,199.089996,196.770004,198.139999,185.679779,1635100
COST,Costco Wholesale,2018-05-24,198.289993,199.089996,196.820007,198.889999,186.382645,1176300
COST,Costco Wholesale,2018-05-25,198.889999,200.220001,197.820007,198.360001,185.885986,1331000
COST,Costco Wholesale,2018-05-29,198.100006,198.839996,196.000000,196.740005,184.367828,2298100
COST,Costco Wholesale,2018-05-30,198.160004,200.529999,197.750000,199.639999,187.085480,2390900
COST,Costco Wholesale,2018-05-31,200.220001,200.699997,197.699997,198.240005,185.773560,4822800
COST,Costco Wholesale,2018-06-01,195.449997,198.990005,195.000000,197.130005,184.733368,4056400
COST,Costco Wholesale,2018-06-04,197.320007,199.039993,197.250000,198.619995,186.129623,1870600
COST,Costco Wholesale,2018-06-05,199.220001,199.350006,196.990005,197.839996,185.398682,1868500
COST,Costco Wholesale,2018-06-06,198.009995,198.399994,196.699997,197.660004,185.229980,2066900
COST,Costco Wholesale,2018-06-07,200.500000,202.880005,199.410004,202.570007,189.831238,2735000
COST,Costco Wholesale,2018-06-08,201.509995,204.009995,201.000000,203.759995,190.946396,2052500
COST,Costco Wholesale,2018-06-11,203.759995,204.889999,203.419998,204.500000,191.639847,1684800
COST,Costco Wholesale,2018-06-12,204.250000,205.080002,203.229996,204.880005,191.995956,1384800
COST,Costco Wholesale,2018-06-13,204.919998,205.830002,203.210007,204.110001,191.274384,1665800
COST,Costco Wholesale,2018-06-14,204.869995,205.729996,204.289993,205.119995,192.220856,1685000
COST,Costco Wholesale,2018-06-15,205.399994,207.669998,204.570007,207.320007,194.282516,3879600
COST,Costco Wholesale,2018-06-18,206.000000,208.110001,205.149994,206.210007,193.242325,1975000
COST,Costco Wholesale,2018-06-19,204.899994,207.809998,204.619995,207.529999,194.479279,1940600
COST,Costco Wholesale,2018-06-20,207.759995,208.589996,206.960007,207.979996,194.901031,1527700
COST,Costco Wholesale,2018-06-21,208.169998,211.110001,208.000000,209.960007,196.756531,1825800
COST,Costco Wholesale,2018-06-22,210.369995,211.770004,210.020004,211.100006,197.824829,1738600
COST,Costco Wholesale,2018-06-25,210.009995,212.080002,209.970001,211.750000,198.433929,2398600
COST,Costco Wholesale,2018-06-26,212.380005,212.460007,209.970001,210.089996,196.878326,2276700
COST,Costco Wholesale,2018-06-27,210.500000,212.419998,209.610001,210.029999,196.822083,2211700
COST,Costco Wholesale,2018-06-28,210.000000,211.190002,208.050003,208.710007,195.585098,1826700
COST,Costco Wholesale,2018-06-29,209.660004,210.529999,208.320007,208.979996,195.838089,2164600
COST,Costco Wholesale,2018-07-02,208.419998,208.820007,206.050003,207.990005,194.910400,1876100
COST,Costco Wholesale,2018-07-03,208.529999,209.910004,206.899994,207.119995,194.095078,842100
COST,Costco Wholesale,2018-07-05,208.199997,209.289993,207.550003,209.139999,195.988068,1436700
COST,Costco Wholesale,2018-07-06,207.139999,210.389999,206.660004,209.619995,196.437851,1523200
COST,Costco Wholesale,2018-07-09,210.520004,211.789993,210.000000,210.940002,197.674911,1738300
COST,Costco Wholesale,2018-07-10,210.990005,212.699997,210.830002,211.699997,198.387085,1687800
COST,Costco Wholesale,2018-07-11,211.210007,211.779999,209.970001,210.949997,197.684250,1472800
COST,Costco Wholesale,2018-07-12,212.539993,214.169998,212.220001,214.020004,200.561203,2222000
COST,Costco Wholesale,2018-07-13,214.000000,216.639999,213.710007,216.539993,202.922699,1951200
COST,Costco Wholesale,2018-07-16,216.639999,217.130005,213.899994,214.850006,201.338959,2078200
COST,Costco Wholesale,2018-07-17,214.059998,216.160004,214.000000,215.000000,201.479568,2064800
COST,Costco Wholesale,2018-07-18,215.339996,215.880005,213.600006,214.970001,201.451447,1869500
COST,Costco Wholesale,2018-07-19,214.460007,218.199997,214.029999,217.539993,203.859818,2790800
COST,Costco Wholesale,2018-07-20,216.979996,218.940002,216.240005,218.690002,204.937500,1793900
COST,Costco Wholesale,2018-07-23,219.880005,220.460007,218.199997,218.839996,205.078064,1394300
COST,Costco Wholesale,2018-07-24,219.410004,220.679993,217.589996,218.580002,204.834381,1453900
COST,Costco Wholesale,2018-07-25,217.610001,220.820007,217.369995,220.699997,206.821121,1560200
COST,Costco Wholesale,2018-07-26,222.000000,224.619995,220.820007,221.720001,207.776993,1820000
COST,Costco Wholesale,2018-07-27,222.309998,222.500000,218.759995,219.649994,205.837143,1596800
COST,Costco Wholesale,2018-07-30,219.039993,220.119995,218.610001,219.110001,205.331085,1292700
COST,Costco Wholesale,2018-07-31,219.690002,220.070007,218.330002,218.710007,204.956253,1888500
COST,Costco Wholesale,2018-08-01,218.649994,219.100006,216.250000,217.130005,203.475616,1841300
COST,Costco Wholesale,2018-08-02,215.009995,221.399994,215.009995,221.119995,207.214676,1904800
COST,Costco Wholesale,2018-08-03,221.000000,222.619995,221.000000,222.029999,208.067505,1195700
COST,Costco Wholesale,2018-08-06,221.429993,223.270004,221.009995,222.720001,208.714066,1285500
COST,Costco Wholesale,2018-08-07,223.240005,225.479996,222.979996,223.860001,209.782410,1428100
COST,Costco Wholesale,2018-08-08,222.860001,224.880005,222.240005,224.580002,210.457123,2010700
COST,Costco Wholesale,2018-08-09,221.619995,222.350006,216.910004,218.240005,204.515823,3637100
COST,Costco Wholesale,2018-08-10,218.139999,221.720001,217.750000,220.309998,206.455597,2830800
COST,Costco Wholesale,2018-08-13,221.029999,221.580002,219.059998,219.559998,205.752808,1518900
COST,Costco Wholesale,2018-08-14,220.009995,222.559998,219.860001,222.000000,208.039337,1450600
COST,Costco Wholesale,2018-08-15,220.720001,222.110001,218.770004,221.669998,207.730103,1844100
COST,Costco Wholesale,2018-08-16,223.449997,224.259995,222.139999,223.190002,209.154526,1657700
COST,Costco Wholesale,2018-08-17,222.330002,225.880005,222.149994,225.679993,211.487946,1980900
COST,Costco Wholesale,2018-08-20,226.000000,228.220001,225.970001,227.350006,213.052902,1783700
COST,Costco Wholesale,2018-08-21,229.490005,230.100006,227.699997,228.539993,214.168076,2066700
COST,Costco Wholesale,2018-08-22,228.479996,230.229996,228.380005,229.210007,214.795975,1267900
COST,Costco Wholesale,2018-08-23,229.000000,230.350006,228.570007,229.509995,215.077087,1337900
COST,Costco Wholesale,2018-08-24,230.000000,232.059998,229.600006,231.279999,216.735809,1453200
COST,Costco Wholesale,2018-08-27,232.740005,232.860001,228.100006,230.029999,215.564392,1904100
COST,Costco Wholesale,2018-08-28,230.940002,231.830002,229.839996,230.259995,215.779922,1882100
COST,Costco Wholesale,2018-08-29,231.789993,232.000000,228.729996,230.190002,215.714340,1793600
COST,Costco Wholesale,2018-08-30,229.619995,231.160004,229.440002,230.830002,216.851028,1272000
COST,Costco Wholesale,2018-08-31,230.210007,233.520004,230.210007,233.130005,219.011780,1881300
COST,Costco Wholesale,2018-09-04,233.139999,234.910004,233.139999,234.679993,220.467880,1858400
COST,Costco Wholesale,2018-09-05,234.570007,236.169998,233.199997,235.610001,221.341568,2126000
COST,Costco Wholesale,2018-09-06,235.470001,236.770004,235.059998,236.679993,222.346786,1853200
COST,Costco Wholesale,2018-09-07,237.309998,242.949997,237.199997,241.460007,226.837311,2722400
COST,Costco Wholesale,2018-09-10,243.000000,243.800003,242.119995,243.179993,228.453140,2817300
COST,Costco Wholesale,2018-09-11,243.929993,245.160004,243.169998,244.210007,229.420776,2185700
COST,Costco Wholesale,2018-09-12,245.000000,245.119995,242.229996,242.440002,227.757950,1912000
COST,Costco Wholesale,2018-09-13,242.500000,243.990005,241.050003,241.270004,226.658798,2078200
COST,Costco Wholesale,2018-09-14,239.000000,239.000000,234.470001,235.380005,221.125504,3875300
COST,Costco Wholesale,2018-09-17,234.059998,234.589996,231.509995,232.000000,217.950211,2884600
COST,Costco Wholesale,2018-09-18,231.979996,235.470001,231.699997,234.350006,220.157852,2000200
COST,Costco Wholesale,2018-09-19,234.619995,234.740005,232.419998,233.850006,219.688171,1581400
COST,Costco Wholesale,2018-09-20,234.600006,235.000000,232.320007,233.919998,219.753891,1910100
COST,Costco Wholesale,2018-09-21,234.369995,235.839996,234.009995,234.759995,220.543030,3717800
COST,Costco Wholesale,2018-09-24,234.190002,234.850006,232.899994,233.339996,219.209015,1530400
COST,Costco Wholesale,2018-09-25,234.029999,234.660004,232.729996,232.929993,218.823837,1889700
COST,Costco Wholesale,2018-09-26,233.570007,235.660004,233.449997,233.809998,219.650574,2008500
COST,Costco Wholesale,2018-09-27,233.699997,235.669998,232.339996,234.000000,219.829071,1421400
COST,Costco Wholesale,2018-09-28,233.860001,235.470001,233.789993,234.880005,220.655746,1602800
COST,Costco Wholesale,2018-10-01,235.809998,236.529999,234.429993,234.649994,220.439697,1673100
COST,Costco Wholesale,2018-10-02,234.100006,237.570007,233.869995,236.350006,222.036758,1647600
COST,Costco Wholesale,2018-10-03,236.619995,237.309998,232.729996,233.199997,219.077499,2322300
COST,Costco Wholesale,2018-10-04,233.259995,234.000000,230.660004,231.679993,217.649567,2862800
COST,Costco Wholesale,2018-10-05,225.000000,227.059998,217.789993,218.820007,205.568359,7379000
COST,Costco Wholesale,2018-10-08,219.339996,224.500000,219.259995,223.929993,210.368912,3863500
COST,Costco Wholesale,2018-10-09,224.149994,225.149994,222.559998,224.169998,210.594345,2502800
COST,Costco Wholesale,2018-10-10,224.100006,225.000000,221.039993,221.050003,207.663330,3021400
COST,Costco Wholesale,2018-10-11,222.910004,225.320007,220.929993,221.820007,208.386642,3650900
COST,Costco Wholesale,2018-10-12,225.199997,227.619995,223.389999,226.949997,213.206009,3130500
COST,Costco Wholesale,2018-10-15,226.250000,226.940002,224.250000,224.509995,210.913788,2441900
COST,Costco Wholesale,2018-10-16,224.869995,228.259995,224.320007,227.679993,213.891830,2541800
COST,Costco Wholesale,2018-10-17,228.449997,228.880005,225.509995,228.490005,214.652756,2129300
COST,Costco Wholesale,2018-10-18,228.539993,230.649994,226.250000,228.580002,214.737274,2624600
COST,Costco Wholesale,2018-10-19,228.899994,230.630005,228.720001,229.669998,215.761292,2099800
COST,Costco Wholesale,2018-10-22,229.880005,230.250000,227.270004,229.059998,215.188263,2007300
COST,Costco Wholesale,2018-10-23,227.070007,229.259995,223.820007,228.750000,214.897049,2656700
COST,Costco Wholesale,2018-10-24,225.929993,231.089996,223.089996,223.759995,210.209198,3100200
COST,Costco Wholesale,2018-10-25,224.059998,227.589996,222.839996,226.399994,212.689301,2218900
COST,Costco Wholesale,2018-10-26,222.309998,225.000000,217.000000,218.190002,204.976532,3995400
COST,Costco Wholesale,2018-10-29,219.750000,224.889999,218.750000,222.419998,208.950348,3801400
COST,Costco Wholesale,2018-10-30,223.100006,228.210007,223.009995,227.919998,214.117294,2410500
COST,Costco Wholesale,2018-10-31,228.649994,230.559998,225.559998,228.630005,214.784286,2674600
COST,Costco Wholesale,2018-11-01,228.179993,230.800003,227.539993,229.600006,215.695557,2095000
COST,Costco Wholesale,2018-11-02,229.809998,232.229996,227.179993,230.160004,216.221634,2167200
COST,Costco Wholesale,2018-11-05,230.710007,234.889999,229.800003,234.449997,220.251816,2513900
COST,Costco Wholesale,2018-11-06,235.000000,237.490005,234.179993,236.710007,222.374954,2101300
COST,Costco Wholesale,2018-11-07,238.750000,240.880005,236.940002,240.369995,225.813324,2603600
COST,Costco Wholesale,2018-11-08,238.509995,239.800003,237.029999,238.699997,224.777481,2140600
COST,Costco Wholesale,2018-11-09,237.970001,240.259995,237.070007,237.740005,223.873444,2256700
COST,Costco Wholesale,2018-11-12,237.639999,239.199997,234.130005,234.479996,220.803635,2301400
COST,Costco Wholesale,2018-11-13,234.750000,236.419998,232.770004,234.139999,220.483429,1548100
COST,Costco Wholesale,2018-11-14,237.119995,237.119995,231.710007,233.309998,219.701828,1896500
COST,Costco Wholesale,2018-11-15,232.320007,232.649994,227.000000,229.940002,216.528381,2722300
COST,Costco Wholesale,2018-11-16,229.300003,231.119995,226.520004,231.020004,217.545441,2822400
COST,Costco Wholesale,2018-11-19,231.610001,233.500000,227.809998,228.740005,215.398453,1949500
COST,Costco Wholesale,2018-11-20,224.919998,225.000000,218.050003,219.309998,206.518417,3704800
COST,Costco Wholesale,2018-11-21,220.559998,222.029999,217.449997,218.570007,205.821594,2036500
