T,AT&T,Date,Open,High,Low,Close,Adj Close,Volume
T,AT&T,2018-03-09,28.074018,28.111782,27.809668,27.983383,18.584490,24918077
T,AT&T,2018-03-12,27.983383,28.376133,27.975830,28.217524,18.739986,29531820
T,AT&T,2018-03-13,28.361027,28.557402,28.141994,28.240181,18.755041,25399351
T,AT&T,2018-03-14,28.391239,28.391239,27.915407,27.968279,18.574461,24633285
T,AT&T,2018-03-15,28.013596,28.164654,27.953173,27.975830,18.579477,28967928
T,AT&T,2018-03-16,28.013596,28.202417,27.870090,27.945620,18.559414,49124372
T,AT&T,2018-03-19,27.930513,28.021149,27.545317,27.628399,18.348742,26000580
T,AT&T,2018-03-20,27.703926,27.809668,27.326284,27.447130,18.228355,26701240
T,AT&T,2018-03-21,27.447130,27.567976,27.190332,27.190332,18.057806,23086853
T,AT&T,2018-03-22,27.152569,27.220545,26.706949,26.714502,17.741795,37332696
T,AT&T,2018-03-23,26.714502,27.182779,26.095165,26.208460,17.405722,46377072
T,AT&T,2018-03-26,26.480364,26.654079,26.012085,26.200907,17.400705,41696070
T,AT&T,2018-03-27,26.321753,26.586103,26.200907,26.359516,17.506041,44831567
T,AT&T,2018-03-28,26.654079,27.077040,26.616314,26.858006,17.837099,40707969
T,AT&T,2018-03-29,26.948641,27.107250,26.450151,26.925982,17.882244,36494868
T,AT&T,2018-04-02,26.873112,26.933535,26.306646,26.510574,17.606363,38704360
T,AT&T,2018-04-03,26.555891,26.752266,26.321753,26.714502,17.741795,28969385
T,AT&T,2018-04-04,26.555891,27.145016,26.419941,27.099697,17.997614,27224220
T,AT&T,2018-04-05,27.137463,27.348944,26.948641,27.296074,18.128031,22644769
T,AT&T,2018-04-06,27.197886,27.341391,26.752266,26.910875,17.872210,33255438
T,AT&T,2018-04-09,26.616314,26.963745,26.480364,26.563444,17.975456,28968590
T,AT&T,2018-04-10,26.676737,27.484894,26.472811,27.046827,18.302563,52696259
T,AT&T,2018-04-11,26.933535,26.986404,26.570997,26.623867,18.016344,27864639
T,AT&T,2018-04-12,26.752266,26.790030,26.480364,26.555891,17.970345,29062065
T,AT&T,2018-04-13,26.593657,26.714502,26.450151,26.540785,17.960125,19032235
T,AT&T,2018-04-16,26.714502,27.054380,26.601208,26.918428,18.215673,32964025
T,AT&T,2018-04-17,26.956194,27.016617,26.669184,26.706949,18.072563,27255599
T,AT&T,2018-04-18,26.797583,26.842899,26.555891,26.593657,17.995899,28599724
T,AT&T,2018-04-19,26.616314,26.638973,26.291540,26.299093,17.796570,31172124
T,AT&T,2018-04-20,26.329306,26.480364,25.793051,26.185801,17.719900,42967507
T,AT&T,2018-04-23,26.216011,26.351965,26.125378,26.351965,17.832346,28084556
T,AT&T,2018-04-24,26.548338,26.684290,26.253777,26.435045,17.888565,28561593
T,AT&T,2018-04-25,26.336859,26.616314,26.231117,26.586103,17.990791,33485549
T,AT&T,2018-04-26,25.256798,25.453173,24.524170,25.000000,16.917477,175073050
T,AT&T,2018-04-27,25.030210,25.347431,24.939577,24.954683,16.886805,71773908
T,AT&T,2018-04-30,25.128399,25.234138,24.675226,24.697886,16.713036,61108955
